company,time,metric,value
AB Borlänge Energi Elnät,1/1/2018,Abonnemang i gränspunkt (antal),7
AB Borlänge Energi Elnät,1/1/2019,Abonnemang i gränspunkt (antal),7
AB Borlänge Energi Elnät,1/1/2020,Abonnemang i gränspunkt (antal),7
AB Borlänge Energi Elnät,1/1/2021,Abonnemang i gränspunkt (antal),7
AB Borlänge Energi Elnät,1/1/2022,Abonnemang i gränspunkt (antal),7
AB Borlänge Energi Elnät,1/1/2023,Abonnemang i gränspunkt (antal),8
AB Borlänge Energi Elnät,1/1/2022,Antal abonnemang i inmatningspunkt från elproduktions- och energilagringsanläggningar,853
AB Borlänge Energi Elnät,1/1/2023,Antal abonnemang i inmatningspunkt från elproduktions- och energilagringsanläggningar,1251
AB Borlänge Energi Elnät,1/1/2018,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB Borlänge Energi Elnät,1/1/2019,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB Borlänge Energi Elnät,1/1/2020,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB Borlänge Energi Elnät,1/1/2021,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,
AB Borlänge Energi Elnät,1/1/2022,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,2
AB Borlänge Energi Elnät,1/1/2023,Antal abonnemang i inmatningspunkt från elproduktionsanläggningar och energilagringsanläggningar exkl. småskalig- och mikroproduktion,2
AB Borlänge Energi Elnät,1/1/2018,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2019,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2020,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2021,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2022,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,4
AB Borlänge Energi Elnät,1/1/2023,Antal abonnemang i inmatningspunkt från mikroproduktionsanläggningar,1245
AB Borlänge Energi Elnät,1/1/2018,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2019,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2020,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2021,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2022,Antal abonnemang i inmatningspunkt från småskaliga elproduktionsanläggningar,847
